ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
,,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2
,,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs
36B,8,87.27,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55]",0.0,[],87.27,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55]",0.0,[],87.27,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55]",0.0,[]
37,8,7.69,"[3, 5]",0.0,[],7.69,"[3, 5]",0.0,[],7.69,"[3, 5]",0.0,[]
371,8,16.67,"[5, 8]",0.0,[],16.67,"[5, 8]",0.0,[],16.67,"[5, 8]",0.0,[]
372,8,9.09,"[3, 8]",0.0,[],4.55,[3],0.0,[],9.09,"[3, 8]",0.0,[]
374,8,31.58,"[3, 4, 7, 10, 13, 16]",0.0,[],31.58,"[3, 4, 7, 10, 13, 16]",0.0,[],31.58,"[3, 4, 7, 10, 13, 16]",0.0,[]
38,8,27.59,"[3, 5, 7, 8, 10, 13, 22, 27]",20.69,"[2, 9, 10, 21, 23, 24]",31.03,"[2, 3, 5, 7, 8, 10, 13, 22, 27]",20.69,"[2, 9, 10, 21, 23, 24]",31.03,"[2, 3, 5, 7, 8, 10, 13, 22, 27]",20.69,"[2, 9, 10, 21, 23, 24]"
381,8,21.43,"[2, 7, 11, 13, 20, 24]",0.0,[],14.29,"[2, 7, 13, 24]",0.0,[],21.43,"[2, 7, 11, 13, 20, 24]",0.0,[]
382,8,14.29,"[2, 8]",21.43,"[2, 4, 11]",14.29,"[2, 8]",21.43,"[2, 4, 11]",14.29,"[2, 8]",21.43,"[2, 4, 11]"
382A,8,57.14,"[2, 3, 4, 5]",0.0,[],57.14,"[2, 3, 4, 5]",0.0,[],57.14,"[2, 3, 4, 5]",0.0,[]
382G,8,26.67,"[2, 4, 8, 13]",0.0,[],26.67,"[2, 4, 8, 13]",0.0,[],26.67,"[2, 4, 8, 13]",0.0,[]
382W,8,20.0,"[2, 4, 12]",0.0,[],20.0,"[2, 4, 12]",0.0,[],20.0,"[2, 4, 12]",0.0,[]
384,8,35.71,"[3, 4, 6, 8, 9]",0.0,[],35.71,"[3, 4, 6, 8, 9]",0.0,[],50.0,"[3, 4, 6, 8, 9, 11, 12]",0.0,[]
386,8,40.0,"[2, 6, 7, 8, 13, 15, 16, 17]",0.0,[],40.0,"[2, 6, 7, 8, 13, 15, 16, 17]",0.0,[],40.0,"[2, 6, 7, 8, 13, 15, 16, 17]",0.0,[]
386A,8,85.71,"[2, 3, 4, 5, 6, 7]",0.0,[],85.71,"[2, 3, 4, 5, 6, 7]",0.0,[],85.71,"[2, 3, 4, 5, 6, 7]",0.0,[]
39,8,14.29,"[3, 8, 19, 20, 25, 30]",23.81,"[4, 5, 6, 14, 24, 25, 28, 35, 36, 42]",14.29,"[3, 8, 19, 20, 25, 30]",23.81,"[4, 5, 6, 14, 24, 25, 28, 35, 36, 42]",14.29,"[3, 8, 19, 20, 25, 30]",23.81,"[4, 5, 6, 14, 24, 25, 28, 35, 36, 42]"
39A,8,86.67,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.0,[],86.67,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.0,[],86.67,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.0,[]
39B,8,93.33,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.0,[],93.33,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.0,[],93.33,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.0,[]
3A,8,89.29,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28]",0.0,[],89.29,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28]",0.0,[],89.29,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28]",0.0,[]
4,8,15.38,"[3, 5, 8, 17]",0.0,[],15.38,"[3, 5, 8, 17]",0.0,[],15.38,"[3, 5, 8, 17]",0.0,[]
40,8,32.26,"[2, 4, 8, 12, 13, 18, 22, 24, 26, 32, 36, 37, 39, 40, 42, 43, 45, 52, 53, 58]",0.0,[],35.48,"[2, 4, 8, 12, 13, 18, 22, 24, 26, 32, 35, 36, 37, 39, 40, 42, 43, 45, 49, 52, 53, 58]",0.0,[],33.87,"[2, 4, 8, 12, 13, 18, 22, 24, 26, 30, 32, 36, 37, 39, 40, 42, 43, 45, 52, 53, 58]",0.0,[]
400,8,19.05,"[3, 14, 15, 21]",0.0,[],19.05,"[3, 14, 15, 21]",0.0,[],19.05,"[3, 14, 15, 21]",0.0,[]
401,8,17.78,"[2, 4, 18, 19, 21, 23, 25, 26]",0.0,[],17.78,"[2, 4, 18, 19, 21, 23, 25, 26]",0.0,[],17.78,"[2, 4, 18, 19, 21, 23, 25, 26]",0.0,[]
403,8,8.7,"[7, 17]",0.0,[],8.7,"[3, 17]",0.0,[],4.35,[17],0.0,[]
405,8,22.86,"[2, 4, 5, 6, 10, 32, 33, 34]",0.0,[],20.0,"[2, 4, 6, 10, 32, 33, 34]",0.0,[],20.0,"[2, 4, 6, 10, 32, 33, 34]",0.0,[]
41,8,10.53,"[3, 12, 22, 23]",0.0,[],10.53,"[3, 12, 22, 23]",0.0,[],7.89,"[3, 12, 22]",0.0,[]
410G,8,25.0,"[2, 3, 6, 9, 13, 23]",0.0,[],29.17,"[2, 3, 6, 9, 13, 21, 23]",0.0,[],29.17,"[2, 3, 6, 9, 13, 21, 23]",0.0,[]
410W,8,18.18,"[2, 14, 17, 22]",0.0,[],18.18,"[2, 14, 17, 22]",0.0,[],18.18,"[2, 14, 17, 22]",0.0,[]
42,8,9.09,"[2, 10]",0.0,[],9.09,"[2, 10]",0.0,[],9.09,"[2, 10]",0.0,[]
43,8,22.22,"[3, 6, 9, 10, 11, 35, 38, 40, 46, 51, 53, 54, 59, 61]",30.16,"[7, 13, 15, 20, 23, 26, 28, 29, 30, 32, 33, 42, 43, 51, 55, 56, 58, 60, 61]",20.63,"[3, 6, 9, 10, 11, 35, 38, 40, 46, 51, 54, 59, 61]",31.75,"[7, 13, 15, 20, 23, 26, 28, 29, 30, 32, 33, 42, 43, 50, 51, 55, 56, 58, 60, 61]",23.81,"[3, 6, 9, 10, 11, 26, 35, 38, 40, 46, 51, 53, 54, 59, 61]",31.75,"[7, 13, 15, 20, 23, 26, 28, 29, 30, 32, 33, 42, 43, 50, 51, 55, 56, 58, 60, 61]"
43e,8,48.39,"[3, 5, 6, 7, 9, 10, 11, 12, 19, 21, 22, 24, 25, 27, 28]",77.42,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 18, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",51.61,"[3, 5, 6, 7, 9, 10, 11, 12, 15, 19, 21, 22, 24, 25, 27, 28]",77.42,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 18, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",51.61,"[3, 5, 6, 7, 9, 10, 11, 12, 15, 19, 21, 22, 24, 25, 27, 28]",77.42,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 18, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
43M,8,18.75,"[3, 6, 9, 10, 11, 27, 28, 41, 43]",0.0,[],18.75,"[3, 6, 9, 10, 11, 27, 28, 41, 43]",0.0,[],18.75,"[3, 6, 9, 10, 11, 27, 28, 41, 43]",0.0,[]
45,8,10.0,"[7, 9, 32, 38, 43]",14.0,"[13, 18, 19, 21, 23, 44, 45]",12.0,"[7, 9, 32, 38, 39, 43]",14.0,"[13, 18, 19, 21, 23, 44, 45]",14.0,"[6, 7, 9, 32, 38, 39, 43]",14.0,"[13, 18, 19, 21, 23, 44, 45]"
45A,8,83.33,"[2, 3, 4, 5, 6]",0.0,[],83.33,"[2, 3, 4, 5, 6]",0.0,[],83.33,"[2, 3, 4, 5, 6]",0.0,[]
46,8,9.68,"[6, 13, 25]",22.58,"[3, 6, 18, 20, 21, 25, 28]",9.68,"[6, 13, 25]",22.58,"[3, 6, 18, 20, 21, 25, 28]",9.68,"[6, 13, 25]",25.81,"[3, 6, 15, 18, 20, 21, 25, 28]"
47,8,15.69,"[9, 19, 21, 26, 29, 37, 45, 46]",0.0,[],15.69,"[9, 19, 21, 26, 29, 37, 45, 46]",0.0,[],17.65,"[9, 19, 21, 26, 29, 36, 37, 45, 46]",0.0,[]
48,8,27.78,"[8, 9, 20, 22, 27, 31, 33, 35, 39, 42, 43, 45, 46, 49, 52]",31.48,"[4, 7, 8, 11, 18, 20, 22, 23, 28, 31, 36, 38, 39, 44, 47, 48, 49]",27.78,"[8, 9, 20, 22, 27, 31, 33, 35, 39, 42, 43, 45, 46, 49, 52]",29.63,"[4, 7, 8, 11, 18, 20, 22, 23, 28, 31, 36, 39, 44, 47, 48, 49]",27.78,"[8, 9, 14, 20, 22, 27, 31, 35, 39, 42, 43, 45, 46, 49, 52]",33.33,"[4, 7, 8, 11, 18, 20, 22, 23, 24, 28, 31, 36, 38, 39, 44, 47, 48, 49]"
49,8,13.73,"[5, 22, 24, 29, 34, 45, 46]",0.0,[],11.76,"[5, 21, 24, 34, 45, 46]",0.0,[],11.76,"[5, 22, 24, 34, 45, 46]",0.0,[]
5,8,24.59,"[2, 8, 21, 23, 24, 26, 32, 33, 34, 36, 46, 49, 50, 57, 59]",24.59,"[2, 4, 5, 13, 15, 16, 23, 28, 30, 32, 39, 41, 42, 52, 55]",24.59,"[2, 8, 21, 23, 24, 26, 32, 33, 34, 36, 46, 49, 50, 57, 59]",27.87,"[2, 4, 5, 11, 13, 15, 16, 18, 23, 28, 30, 32, 39, 41, 42, 52, 55]",26.23,"[2, 8, 12, 21, 23, 24, 26, 32, 33, 34, 36, 46, 49, 50, 57, 59]",26.23,"[2, 4, 5, 11, 13, 15, 16, 23, 28, 30, 32, 39, 41, 42, 52, 55]"
50,8,10.42,"[4, 10, 14, 36, 46]",12.5,"[2, 3, 15, 41, 43, 46]",12.5,"[4, 10, 30, 36, 43, 46]",12.5,"[2, 3, 15, 41, 43, 46]",12.5,"[4, 10, 30, 36, 43, 46]",12.5,"[2, 3, 15, 41, 43, 46]"
502,8,29.55,"[11, 22, 23, 24, 25, 26, 27, 29, 34, 36, 37, 40, 43, 45, 48, 62, 64, 65, 66, 68, 69, 71, 73, 76, 87, 88]",0.0,[],29.55,"[11, 22, 23, 24, 25, 26, 27, 29, 34, 36, 37, 40, 43, 45, 48, 62, 64, 65, 66, 68, 69, 71, 73, 76, 87, 88]",0.0,[],27.27,"[11, 22, 23, 24, 25, 26, 27, 29, 34, 36, 37, 40, 43, 62, 64, 65, 66, 68, 69, 71, 73, 76, 87, 88]",0.0,[]
502A,8,66.67,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",0.0,[],66.67,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",0.0,[],66.67,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",0.0,[]
506,8,20.0,"[10, 12, 14, 24, 26, 27]",36.67,"[2, 5, 6, 8, 9, 11, 12, 19, 22, 24, 26]",30.0,"[2, 10, 12, 14, 18, 21, 24, 26, 27]",36.67,"[2, 5, 6, 8, 9, 11, 12, 19, 22, 24, 26]",23.33,"[10, 12, 14, 18, 24, 26, 27]",33.33,"[2, 6, 8, 9, 11, 12, 19, 22, 24, 26]"
50A,8,90.62,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32]",0.0,[],90.62,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32]",0.0,[],90.62,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32]",0.0,[]
51,8,22.45,"[2, 5, 17, 19, 20, 21, 22, 24, 28, 33, 34, 37, 42, 44, 49, 52, 54, 59, 60, 66, 71, 83]",14.29,"[29, 32, 34, 38, 46, 49, 54, 58, 61, 64, 73, 74, 79, 90]",22.45,"[2, 5, 17, 19, 20, 21, 22, 24, 28, 33, 34, 37, 42, 44, 49, 52, 54, 59, 60, 66, 71, 83]",15.31,"[29, 32, 34, 38, 46, 49, 54, 58, 61, 64, 69, 73, 74, 79, 90]",22.45,"[2, 5, 17, 19, 20, 21, 22, 24, 28, 33, 34, 37, 42, 44, 49, 52, 54, 59, 60, 66, 71, 83]",16.33,"[29, 32, 34, 38, 46, 49, 54, 58, 61, 64, 68, 69, 73, 74, 79, 90]"
513,8,41.67,"[2, 3, 4, 5, 7, 8, 9, 10, 21, 22]",50.0,"[2, 3, 5, 6, 16, 17, 18, 19, 20, 22, 23, 24]",41.67,"[2, 3, 4, 5, 7, 8, 9, 10, 21, 22]",50.0,"[2, 3, 5, 6, 16, 17, 18, 19, 20, 22, 23, 24]",41.67,"[2, 3, 4, 5, 7, 8, 9, 10, 21, 22]",50.0,"[2, 3, 5, 6, 16, 17, 18, 19, 20, 22, 23, 24]"
518,8,24.74,"[2, 3, 14, 15, 17, 18, 25, 26, 30, 31, 35, 44, 47, 48, 50, 51, 54, 57, 64, 70, 74, 85, 86, 96]",0.0,[],24.74,"[2, 3, 14, 15, 17, 18, 25, 26, 30, 31, 35, 44, 47, 48, 50, 51, 54, 57, 64, 70, 74, 85, 86, 96]",0.0,[],26.8,"[2, 3, 9, 14, 15, 17, 18, 25, 26, 30, 31, 35, 36, 44, 47, 48, 50, 51, 54, 57, 64, 70, 74, 85, 86, 96]",0.0,[]
518A,8,88.37,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]",0.0,[],88.37,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]",0.0,[],88.37,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]",0.0,[]
51A,8,77.78,"[2, 3, 4, 5, 6, 7, 8]",0.0,[],77.78,"[2, 3, 4, 5, 6, 7, 8]",0.0,[],77.78,"[2, 3, 4, 5, 6, 7, 8]",0.0,[]
52,8,20.0,"[2, 4, 8, 12, 15, 19, 31, 33, 40]",22.22,"[3, 6, 10, 12, 26, 33, 38, 41, 42, 43]",20.0,"[2, 4, 8, 12, 15, 19, 31, 33, 40]",22.22,"[3, 6, 10, 12, 26, 33, 38, 41, 42, 43]",22.22,"[2, 4, 8, 9, 12, 15, 19, 31, 33, 40]",22.22,"[3, 6, 10, 12, 26, 33, 38, 41, 42, 43]"
53,8,8.79,"[2, 22, 35, 49, 61, 69, 76, 82]",0.0,[],8.79,"[2, 22, 35, 49, 61, 69, 76, 82]",0.0,[],7.69,"[2, 22, 35, 49, 61, 69, 82]",0.0,[]
53A,8,73.68,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 15, 17, 18, 19]",0.0,[],73.68,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 15, 17, 18, 19]",0.0,[],78.95,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 15, 16, 17, 18, 19]",0.0,[]
53M,8,16.67,"[4, 8, 13]",0.0,[],16.67,"[4, 8, 13]",0.0,[],22.22,"[4, 8, 11, 13]",0.0,[]
54,8,29.55,"[2, 3, 7, 13, 15, 26, 29, 30, 32, 34, 36, 40, 41]",38.64,"[3, 6, 7, 10, 12, 14, 16, 18, 19, 28, 30, 35, 36, 37, 38, 40, 41]",27.27,"[2, 3, 7, 13, 15, 26, 29, 30, 32, 36, 40, 41]",40.91,"[3, 6, 7, 10, 12, 14, 16, 18, 19, 21, 28, 30, 35, 36, 37, 38, 40, 41]",27.27,"[2, 3, 7, 13, 15, 26, 29, 30, 32, 34, 40, 41]",38.64,"[3, 6, 7, 10, 12, 14, 16, 18, 19, 28, 30, 35, 36, 37, 38, 40, 41]"
55,8,21.15,"[2, 4, 8, 17, 19, 33, 34, 42, 43, 48, 50]",15.38,"[13, 15, 21, 22, 33, 37, 46, 51]",19.23,"[2, 4, 8, 17, 19, 33, 34, 43, 48, 50]",15.38,"[13, 15, 21, 22, 33, 37, 46, 51]",23.08,"[2, 4, 8, 17, 19, 31, 33, 34, 42, 43, 48, 50]",13.46,"[13, 15, 21, 22, 33, 37, 51]"
55B,8,62.5,"[2, 3, 4, 5, 8]",0.0,[],62.5,"[2, 3, 4, 5, 8]",0.0,[],62.5,"[2, 3, 4, 5, 8]",0.0,[]
56,8,32.14,"[2, 3, 10, 11, 13, 17, 18, 20, 21]",25.0,"[10, 12, 18, 21, 25, 27, 28]",32.14,"[2, 3, 10, 11, 13, 17, 18, 20, 21]",25.0,"[10, 12, 14, 18, 25, 27, 28]",32.14,"[2, 3, 10, 11, 13, 17, 18, 20, 21]",25.0,"[10, 12, 18, 21, 25, 27, 28]"
57,8,14.0,"[8, 16, 19, 20, 38, 43, 49]",20.0,"[4, 14, 22, 23, 24, 26, 31, 33, 35, 45]",16.0,"[2, 8, 16, 17, 19, 38, 43, 49]",20.0,"[4, 14, 22, 23, 24, 26, 31, 33, 35, 45]",16.0,"[2, 8, 16, 17, 19, 38, 43, 49]",18.0,"[4, 14, 22, 23, 24, 26, 33, 35, 45]"
58,8,25.53,"[2, 4, 8, 9, 13, 22, 25, 30, 32, 33, 40, 46]",25.53,"[2, 3, 9, 18, 19, 21, 25, 27, 28, 39, 40, 46]",25.53,"[2, 4, 8, 9, 13, 22, 25, 30, 32, 33, 40, 46]",25.53,"[2, 3, 9, 18, 19, 21, 25, 27, 28, 39, 40, 46]",25.53,"[2, 4, 8, 9, 13, 22, 25, 30, 32, 33, 40, 46]",23.4,"[2, 9, 18, 19, 21, 25, 27, 28, 39, 40, 46]"
58A,8,85.19,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27]",0.0,[],85.19,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27]",0.0,[],85.19,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27]",0.0,[]
58B,8,92.31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.0,[],92.31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.0,[],92.31,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.0,[]
59,8,15.38,"[2, 7, 22, 24, 26, 33, 37, 41]",25.0,"[3, 16, 17, 21, 22, 24, 30, 31, 32, 34, 42, 44, 46]",15.38,"[2, 7, 22, 24, 26, 33, 37, 41]",25.0,"[3, 16, 17, 21, 22, 24, 30, 31, 32, 34, 42, 44, 46]",15.38,"[2, 7, 22, 24, 26, 33, 37, 41]",25.0,"[3, 16, 17, 21, 22, 24, 30, 31, 32, 34, 42, 44, 46]"
5A,8,83.33,"[2, 3, 4, 5, 6]",0.0,[],83.33,"[2, 3, 4, 5, 6]",0.0,[],83.33,"[2, 3, 4, 5, 6]",0.0,[]
5B,8,90.0,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.0,[],90.0,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.0,[],90.0,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.0,[]
6,8,6.67,"[2, 25]",0.0,[],6.67,"[2, 25]",0.0,[],6.67,"[2, 25]",0.0,[]
60,8,27.27,"[4, 6, 15, 18, 20, 22, 27, 32, 33]",0.0,[],24.24,"[4, 6, 15, 18, 20, 27, 32, 33]",0.0,[],30.3,"[4, 6, 12, 15, 18, 20, 22, 27, 32, 33]",0.0,[]
60A,8,90.0,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.0,[],90.0,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.0,[],90.0,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.0,[]
60T,8,94.12,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.0,[],94.12,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.0,[],94.12,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.0,[]
61,8,19.59,"[2, 29, 31, 33, 41, 47, 51, 58, 59, 61, 64, 68, 69, 72, 74, 76, 83, 95, 97]",14.43,"[4, 7, 18, 25, 28, 34, 38, 46, 52, 57, 62, 67, 83, 84]",18.56,"[2, 29, 31, 33, 51, 58, 59, 61, 64, 68, 69, 72, 74, 76, 83, 94, 95, 97]",15.46,"[4, 7, 17, 18, 25, 28, 34, 38, 46, 52, 57, 62, 67, 83, 84]",17.53,"[2, 29, 31, 33, 51, 58, 59, 61, 64, 68, 69, 72, 74, 76, 83, 95, 97]",15.46,"[4, 7, 17, 18, 25, 28, 34, 38, 46, 52, 57, 62, 67, 83, 84]"
62,8,19.32,"[2, 4, 5, 13, 16, 24, 40, 41, 42, 44, 49, 57, 72, 77, 80, 85, 86]",0.0,[],18.18,"[2, 4, 5, 13, 16, 20, 24, 41, 42, 44, 49, 57, 72, 77, 80, 86]",0.0,[],19.32,"[2, 4, 5, 13, 16, 20, 24, 41, 42, 44, 49, 57, 72, 77, 80, 85, 86]",0.0,[]
62A,8,85.37,"[2, 3, 4, 5, 6, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",0.0,[],85.37,"[2, 3, 4, 5, 6, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",0.0,[],85.37,"[2, 3, 4, 5, 6, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",0.0,[]
63,8,22.33,"[4, 7, 8, 19, 22, 23, 31, 40, 42, 44, 46, 62, 64, 66, 68, 70, 73, 82, 88, 91, 95, 102, 103]",0.0,[],24.27,"[4, 7, 8, 12, 18, 19, 22, 23, 31, 40, 42, 44, 46, 62, 64, 66, 68, 70, 73, 82, 88, 91, 95, 102, 103]",0.0,[],24.27,"[4, 7, 8, 12, 18, 19, 22, 23, 31, 40, 42, 44, 46, 62, 64, 66, 68, 70, 73, 82, 88, 91, 95, 102, 103]",0.0,[]
63A,8,88.89,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",0.0,[],88.89,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",0.0,[],88.89,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",0.0,[]
63M,8,37.14,"[4, 7, 8, 9, 12, 20, 22, 23, 27, 31, 33, 34, 35]",0.0,[],40.0,"[4, 7, 8, 9, 12, 17, 20, 22, 23, 27, 31, 33, 34, 35]",0.0,[],37.14,"[4, 7, 8, 9, 12, 20, 22, 23, 27, 31, 33, 34, 35]",0.0,[]
64,8,27.71,"[13, 14, 15, 19, 20, 28, 32, 36, 38, 47, 51, 53, 56, 58, 60, 64, 68, 69, 70, 73, 75, 76, 81]",0.0,[],26.51,"[13, 14, 15, 19, 20, 28, 32, 36, 38, 47, 51, 53, 56, 58, 64, 68, 69, 70, 73, 75, 76, 81]",0.0,[],28.92,"[13, 14, 15, 19, 20, 26, 28, 32, 36, 38, 47, 51, 53, 56, 58, 60, 64, 68, 69, 70, 73, 75, 76, 81]",0.0,[]
65,8,15.38,"[15, 18, 20, 30, 39, 40, 45, 49, 54, 63]",15.38,"[4, 16, 19, 23, 25, 28, 31, 38, 51, 60]",16.92,"[15, 18, 20, 29, 30, 39, 40, 45, 49, 54, 63]",15.38,"[4, 16, 19, 23, 25, 28, 31, 38, 51, 60]",18.46,"[8, 15, 18, 20, 29, 30, 39, 40, 45, 49, 54, 63]",15.38,"[4, 16, 23, 25, 28, 31, 38, 50, 51, 60]"
651,8,73.33,"[2, 3, 5, 6, 7, 8, 9, 10, 13, 14, 15]",53.33,"[3, 4, 6, 8, 10, 11, 13, 14]",73.33,"[2, 3, 5, 6, 7, 8, 9, 10, 13, 14, 15]",53.33,"[3, 4, 6, 8, 10, 11, 13, 14]",73.33,"[2, 3, 5, 6, 7, 8, 9, 10, 13, 14, 15]",53.33,"[3, 4, 6, 8, 10, 11, 13, 14]"
