ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
,,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2
,,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs
131A,8,93.55,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0.0,[],93.55,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0.0,[],93.55,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0.0,[]
132,8,24.56,"[2, 4, 5, 17, 28, 29, 32, 38, 41, 45, 52, 53, 54, 57]",21.05,"[2, 7, 8, 15, 18, 20, 21, 22, 30, 39, 41, 51]",24.56,"[2, 4, 5, 17, 28, 29, 32, 38, 41, 45, 52, 53, 54, 57]",19.3,"[2, 7, 8, 15, 18, 20, 21, 22, 30, 41, 51]",24.56,"[2, 4, 5, 17, 28, 29, 32, 38, 41, 45, 52, 53, 54, 57]",21.05,"[2, 7, 8, 15, 18, 20, 21, 22, 30, 39, 41, 51]"
133,8,27.91,"[3, 10, 11, 12, 16, 19, 23, 24, 29, 33, 40, 43]",13.95,"[15, 23, 25, 27, 30, 34]",27.91,"[3, 10, 11, 12, 16, 19, 23, 24, 29, 33, 40, 43]",16.28,"[10, 15, 23, 25, 27, 30, 34]",27.91,"[3, 10, 11, 12, 16, 19, 23, 24, 29, 31, 33, 43]",16.28,"[10, 15, 23, 25, 27, 30, 34]"
134,8,18.92,"[6, 8, 14, 17, 18, 24, 32]",0.0,[],18.92,"[6, 8, 14, 17, 18, 24, 32]",0.0,[],18.92,"[6, 8, 14, 17, 18, 24, 32]",0.0,[]
135,8,20.83,"[2, 3, 8, 9, 10, 14, 22, 25, 27, 33]",16.67,"[4, 15, 23, 30, 33, 35, 37, 41]",20.83,"[2, 3, 8, 9, 10, 14, 22, 25, 27, 33]",18.75,"[15, 18, 23, 29, 30, 33, 35, 37, 41]",20.83,"[2, 3, 8, 9, 10, 14, 22, 25, 27, 33]",18.75,"[4, 15, 23, 29, 30, 33, 35, 37, 41]"
136,8,17.07,"[3, 13, 22, 27, 30, 35, 36]",12.2,"[2, 8, 21, 23, 31]",17.07,"[3, 13, 22, 27, 30, 35, 36]",12.2,"[2, 8, 21, 23, 31]",17.07,"[3, 13, 22, 27, 30, 35, 36]",12.2,"[2, 8, 21, 23, 31]"
137,8,27.08,"[6, 7, 9, 11, 15, 17, 21, 27, 32, 36, 37, 43, 45]",20.83,"[7, 13, 17, 22, 23, 36, 39, 41, 42, 44]",27.08,"[6, 7, 9, 11, 15, 17, 21, 27, 32, 36, 37, 43, 45]",22.92,"[7, 13, 17, 22, 23, 32, 36, 39, 41, 42, 44]",27.08,"[6, 7, 9, 11, 15, 17, 21, 27, 32, 36, 37, 43, 45]",20.83,"[7, 13, 22, 23, 32, 36, 39, 41, 42, 44]"
137A,8,81.82,"[2, 3, 4, 5, 6, 8, 9, 10, 11]",0.0,[],81.82,"[2, 3, 4, 5, 6, 8, 9, 10, 11]",0.0,[],81.82,"[2, 3, 4, 5, 6, 8, 9, 10, 11]",0.0,[]
138,8,5.08,"[18, 31, 44]",0.0,[],5.08,"[31, 32, 44]",0.0,[],8.47,"[18, 30, 31, 32, 44]",0.0,[]
138A,8,30.0,"[2, 3, 4, 8, 9, 10, 14, 18, 30]",0.0,[],30.0,"[2, 3, 4, 8, 9, 10, 14, 18, 30]",0.0,[],30.0,"[2, 3, 4, 8, 9, 10, 14, 18, 30]",0.0,[]
138B,8,77.78,"[2, 3, 4, 5, 7, 8, 9]",0.0,[],77.78,"[2, 3, 4, 5, 7, 8, 9]",0.0,[],77.78,"[2, 3, 4, 5, 7, 8, 9]",0.0,[]
139,8,21.74,"[2, 5, 14, 22, 23, 29, 31, 37, 40, 45]",26.09,"[2, 4, 9, 15, 16, 22, 26, 28, 32, 33, 37, 39]",21.74,"[2, 5, 14, 22, 23, 29, 31, 37, 40, 45]",26.09,"[2, 4, 9, 15, 16, 22, 26, 28, 32, 33, 37, 39]",21.74,"[2, 5, 14, 22, 23, 29, 31, 37, 40, 45]",28.26,"[2, 4, 9, 15, 16, 18, 22, 26, 28, 32, 33, 37, 39]"
139A,8,88.89,"[2, 3, 4, 5, 6, 7, 8, 9]",0.0,[],88.89,"[2, 3, 4, 5, 6, 7, 8, 9]",0.0,[],88.89,"[2, 3, 4, 5, 6, 7, 8, 9]",0.0,[]
13A,8,50.0,"[2, 5, 6]",0.0,[],50.0,"[2, 5, 6]",0.0,[],50.0,"[2, 5, 6]",0.0,[]
14,8,26.25,"[2, 6, 7, 10, 11, 21, 31, 35, 40, 44, 49, 54, 58, 61, 62, 66, 71, 73, 74, 76, 78]",23.75,"[3, 5, 6, 8, 10, 22, 26, 28, 30, 31, 35, 36, 39, 47, 48, 53, 59, 61, 67]",26.25,"[2, 6, 7, 10, 11, 21, 31, 35, 40, 44, 49, 54, 58, 61, 62, 66, 71, 73, 74, 76, 78]",23.75,"[3, 5, 6, 8, 10, 22, 26, 28, 31, 35, 36, 39, 47, 48, 53, 59, 61, 67, 73]",27.5,"[2, 6, 7, 10, 11, 21, 27, 31, 35, 40, 44, 49, 54, 58, 62, 66, 71, 73, 74, 75, 76, 78]",25.0,"[3, 5, 6, 8, 10, 22, 26, 28, 31, 35, 36, 39, 47, 48, 53, 59, 61, 66, 67, 73]"
140,8,43.48,"[3, 4, 5, 7, 8, 9, 12, 18, 19, 20]",0.0,[],43.48,"[3, 4, 5, 7, 8, 9, 12, 18, 19, 20]",0.0,[],43.48,"[3, 4, 5, 7, 8, 9, 12, 18, 19, 20]",0.0,[]
141,8,14.81,"[8, 10, 13, 22]",22.22,"[2, 3, 6, 16, 19, 22]",18.52,"[8, 10, 13, 16, 22]",22.22,"[2, 3, 6, 16, 19, 22]",14.81,"[8, 10, 13, 22]",22.22,"[2, 3, 6, 16, 19, 22]"
142,8,14.29,"[2, 12, 16]",0.0,[],14.29,"[2, 12, 16]",0.0,[],14.29,"[2, 12, 16]",0.0,[]
142A,8,87.5,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]",0.0,[],87.5,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]",0.0,[],87.5,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]",0.0,[]
143,8,13.33,"[2, 8, 14, 18, 19, 23, 29, 36, 41, 53]",16.0,"[33, 36, 38, 44, 48, 53, 55, 58, 63, 66, 68, 69]",13.33,"[2, 8, 14, 18, 19, 23, 29, 36, 41, 53]",18.67,"[7, 33, 36, 38, 44, 48, 53, 55, 58, 63, 66, 68, 69, 71]",14.67,"[2, 8, 12, 14, 18, 19, 23, 29, 36, 41, 53]",17.33,"[7, 33, 36, 38, 44, 48, 53, 55, 58, 63, 66, 68, 69]"
143M,8,10.71,"[7, 12, 19]",0.0,[],10.71,"[7, 12, 19]",0.0,[],10.71,"[7, 12, 19]",0.0,[]
145,8,20.0,"[2, 5, 18, 22, 25, 26, 28, 36, 47, 51, 53]",14.55,"[4, 5, 6, 11, 15, 33, 34, 38]",20.0,"[2, 5, 18, 22, 25, 26, 28, 36, 47, 51, 53]",14.55,"[4, 5, 6, 11, 15, 33, 34, 38]",21.82,"[2, 5, 9, 18, 22, 25, 26, 28, 36, 47, 51, 53]",16.36,"[4, 5, 6, 11, 15, 33, 34, 38, 53]"
145A,8,57.14,"[2, 3, 4, 6]",0.0,[],57.14,"[2, 3, 4, 6]",0.0,[],57.14,"[2, 3, 4, 6]",0.0,[]
146,8,25.0,"[3, 8, 11, 16]",0.0,[],25.0,"[3, 8, 11, 16]",0.0,[],25.0,"[3, 8, 11, 16]",0.0,[]
147,8,20.0,"[3, 21, 25, 28, 32, 33, 39, 46, 47, 51, 57, 65, 68, 69, 71]",18.67,"[3, 5, 6, 11, 12, 30, 31, 38, 40, 43, 45, 47, 50, 55]",21.33,"[3, 21, 25, 28, 32, 33, 39, 46, 47, 51, 57, 65, 68, 69, 71, 73]",21.33,"[3, 5, 6, 8, 11, 12, 28, 30, 31, 38, 40, 43, 45, 47, 50, 55]",21.33,"[3, 21, 25, 28, 32, 33, 39, 46, 47, 51, 57, 65, 68, 69, 71, 73]",21.33,"[3, 5, 6, 11, 12, 28, 30, 31, 38, 40, 43, 45, 47, 50, 55, 68]"
