ServiceNo,Weekday_Percentage_Exceed,Weekend_Percentage_Exceed
860T,83.78378378378379,59.45945945945946
45A,83.33333333333334,83.33333333333334
5A,83.33333333333334,83.33333333333334
991A,83.33333333333334,83.33333333333334
991B,83.33333333333334,83.33333333333334
657,83.33333333333334,83.33333333333334
13A,83.33333333333334,66.66666666666666
983A,83.33333333333334,66.66666666666666
240A,83.33333333333334,50.0
163A,82.35294117647058,76.47058823529412
656,82.35294117647058,70.58823529411765
972A,82.14285714285714,82.14285714285714
43e,82.14285714285714,53.57142857142857
116A,81.81818181818183,81.81818181818183
883B,81.81818181818183,81.81818181818183
102A,81.81818181818183,72.72727272727273
98A,81.81818181818183,54.54545454545454
154B,81.25,65.625
98M,81.25,62.5
180A,80.76923076923077,57.692307692307686
969A,80.0,86.66666666666667
129A,80.0,80.0
159B,80.0,80.0
240M,80.0,80.0
653,80.0,75.0
911A,80.0,60.0
962C,80.0,60.0
857A,80.0,40.0
53A,78.94736842105263,68.42105263157895
33A,78.26086956521739,65.21739130434783
200A,78.26086956521739,60.86956521739131
851e,78.26086956521739,43.47826086956522
21A,77.77777777777779,77.77777777777779
51A,77.77777777777779,77.77777777777779
70B,77.77777777777779,72.22222222222221
158A,77.77777777777779,70.37037037037037
31A,77.77777777777779,44.44444444444444
154A,77.77777777777779,33.33333333333333
80A,77.41935483870968,51.61290322580645
654,76.92307692307693,69.23076923076923
268A,76.92307692307693,57.692307692307686
163B,76.92307692307693,53.84615384615385
666,76.47058823529412,76.47058823529412
663,76.19047619047619,76.19047619047619
68A,75.0,75.0
112A,75.0,75.0
973A,75.0,75.0
68B,75.0,62.5
88B,75.0,50.0
95B,75.0,41.66666666666667
55B,75.0,37.5
16M,74.50980392156863,58.82352941176471
651,73.33333333333333,60.0
903M,73.33333333333333,26.666666666666668
188e,72.97297297297297,54.054054054054056
102B,72.72727272727273,63.63636363636363
502A,71.7948717948718,64.1025641025641
145A,71.42857142857143,57.14285714285714
975A,71.42857142857143,57.14285714285714
382A,71.42857142857143,42.857142857142854
807A,71.42857142857143,42.857142857142854
672,70.58823529411765,70.58823529411765
660,70.58823529411765,64.70588235294117
671,70.58823529411765,64.70588235294117
98B,70.37037037037037,51.85185185185185
14e,70.0,70.0
670,70.0,65.0
982E,69.56521739130434,60.86956521739131
861A,68.96551724137932,51.724137931034484
86B,68.75,43.75
655,68.18181818181817,63.63636363636363
960e,68.0,32.0
159A,68.0,28.000000000000004
868E,67.85714285714286,64.28571428571429
169A,67.85714285714286,46.42857142857143
962B,66.66666666666666,66.66666666666666
983M,66.66666666666666,44.44444444444444
269A,66.66666666666666,41.66666666666667
127A,66.66666666666666,33.33333333333333
27A,66.66666666666666,33.33333333333333
125A,66.66666666666666,22.22222222222222
84A,66.66666666666666,16.666666666666664
667,64.28571428571429,64.28571428571429
2B,63.63636363636363,36.36363636363637
668,63.1578947368421,57.89473684210527
35M,62.5,58.333333333333336
78A,62.5,50.0
89A,62.16216216216216,43.24324324324324
9B,62.06896551724138,48.275862068965516
20A,61.904761904761905,28.57142857142857
86A,61.111111111111114,38.88888888888889
79T,60.71428571428571,42.857142857142854
883M,60.60606060606061,42.42424242424242
85A,60.0,50.0
72A,60.0,35.0
196e,58.620689655172406,51.724137931034484
951E,57.14285714285714,52.38095238095239
94A,57.14285714285714,50.0
991C,57.14285714285714,42.857142857142854
14A,56.86274509803921,37.254901960784316
